city,temperature,humidity,weather,wind_speed,pressure
Waajid,37.71,13,overcast clouds,5.34,1005
Togdheer,30.93,15,overcast clouds,4.59,1008
Tayeeglow,34.01,18,broken clouds,6.93,1007
Somalia,32.81,28,scattered clouds,7.7,1008
Lower Shabeelle,37.59,22,scattered clouds,5.55,1005
Middle Shabele,33.97,26,overcast clouds,8.01,1007
Sanaag,28.46,9,broken clouds,5.73,1010
Saacow,37.92,20,few clouds,4.09,1005
Qoryooley,34.86,34,few clouds,8.79,1006
Qandala,25.42,64,few clouds,3.02,1011
Qaloocan,29.76,16,broken clouds,6.07,1008
Oodweyne,31.95,14,overcast clouds,4.58,1008
Nugaal,30.96,25,broken clouds,6.45,1009
Mogadishu,34.36,33,few clouds,9.86,1007
Mudug,33.23,23,scattered clouds,6.45,1008
Merca,28.47,62,few clouds,8.56,1008
Mahaddayweyne,37.29,18,scattered clouds,6.5,1006
Luuq,38.51,14,overcast clouds,3.76,1005
Lughaye,27.21,62,broken clouds,5.71,1009
Las Khorey,23.53,76,broken clouds,1.94,1010
Kismayo,30.25,53,broken clouds,6.58,1008
Lower Juba,37.52,27,scattered clouds,4.56,1005
Middle Juba,37.87,21,few clouds,3.64,1005
Jilib,36.86,29,scattered clouds,5.81,1006
Giohar,37.33,18,scattered clouds,6.5,1006
Jamaame,36.83,29,scattered clouds,5.42,1006
Jalalaqsi,35.61,19,overcast clouds,7.52,1007
Iskushuban,31.89,23,broken clouds,6.51,1010
Hobyo,28.4,51,overcast clouds,8.23,1010
Hiiraan,34.48,19,overcast clouds,7.3,1007
Hargeisa,30.42,16,broken clouds,6.07,1008
Gedo,35.67,20,broken clouds,5.33,1006
Garoowe,32.06,19,broken clouds,5.43,1009
Garbahaarrey,36.76,19,overcast clouds,4.14,1006
Galguduud,35.3,19,scattered clouds,5.92,1007
Gaalkacyo,33.88,19,scattered clouds,6.39,1008
Eyl,28.01,51,broken clouds,7.44,1010
El Dubat,30.88,16,broken clouds,5.73,1010
El Ad,24.28,74,broken clouds,4.31,1010
Dujuuma,37.99,21,few clouds,3.64,1005
Doon,28.25,61,clear sky,5.14,1009
Dusa Marreb,34.47,18,overcast clouds,6.02,1008
Dalooldho,30.22,16,broken clouds,6.07,1008
Cheli Gu,35.6,16,overcast clouds,5.96,1007
Erigavo,22.61,44,broken clouds,3.92,1011
Ceeldheer,32.12,33,overcast clouds,8.67,1008
Ceelbuur,35.13,19,overcast clouds,4.93,1007
Ceek,33.5,13,broken clouds,3.87,1007
Alula,25.16,74,scattered clouds,11.77,1009
Cadale,32.55,36,overcast clouds,8.64,1008
Buurhakaba,37.51,14,clear sky,6.44,1006
Buur Gaabo,33.61,41,scattered clouds,5.96,1007
Buulobarde,34.51,19,overcast clouds,7.3,1007
Burao,31.35,16,overcast clouds,3.52,1008
Bu’aale,38.54,21,clear sky,3.29,1005
Bosaso,24.2,74,broken clouds,4.31,1010
Bereeda,25.65,65,scattered clouds,9.68,1010
Berbera,25.49,74,broken clouds,5.62,1010
Beledweyne,36.15,16,overcast clouds,5.93,1007
Behelidle,38.88,16,few clouds,3.7,1005
Baidoa,37.38,12,scattered clouds,5.77,1005
Bay,36.26,14,scattered clouds,6.06,1006
Bari,30.19,22,scattered clouds,5.49,1010
Bargaal,29.06,39,few clouds,5.03,1011
Bandarbeyla,25.96,60,broken clouds,4.85,1011
Banaadir,34.05,33,few clouds,9.86,1007
Baardheere,39.03,16,few clouds,3.7,1005
Afgooye,36.13,26,few clouds,8.38,1006
Cadayo,34.49,19,overcast clouds,4.84,1007
Yasuj,11.75,35,broken clouds,4.12,1015
Shāhrūd,6.05,39,clear sky,1.17,1019
‘Abbāsābād-e Qūsheh,15.25,11,few clouds,6.17,1015
At Tawilah,22.28,41,clear sky,5.11,1013
Zinjibar,29.88,39,few clouds,6.57,1010
Zarajah,23.5,17,few clouds,6.05,1010
Az Zahir,22.05,12,clear sky,5.46,1012
Zabid,33.04,30,clear sky,5.91,1008
Zabid,32.17,33,clear sky,6.56,1008
Yufrus,28.17,14,clear sky,3.93,1009
Yemen,32,5,clear sky,6.4,1008
Yarim,20.44,33,few clouds,6.53,1012
Yarim,20.43,32,few clouds,6.56,1011
Washhah,28.4,46,scattered clouds,5.52,1010
Walan,22.84,15,clear sky,6.14,1011
Dhi Jalal,25.9,22,clear sky,5.42,1011
Usaylan,33.9,7,clear sky,5.02,1007
Ubal,30.74,38,clear sky,3.33,1010
Thamud,33.15,6,clear sky,6.2,1009
Tarim,32.51,5,clear sky,4.89,1008
At Ta'izziyah,29.87,15,clear sky,2.99,1010
Muhafazat Ta`izz,28.14,15,clear sky,2.15,1010
Ta`izz,21.6,22,clear sky,5.09,1010
Taizz,29.46,15,clear sky,1.75,1010
As Suwayda,24.52,19,clear sky,4.22,1011
Al `Inan,25.31,18,clear sky,8.73,1010
Abs,32.44,43,broken clouds,5.55,1009
Sif,33.79,3,clear sky,3.69,1008
Shuhayr,26.59,49,clear sky,3.23,1012
Shihan as Sufla,33.74,6,clear sky,3.32,1009
Shibam,19.15,26,clear sky,6.97,1013
Ash Sharyah,26.76,16,clear sky,8.14,1009
Sharas,26.3,42,few clouds,3.73,1013
Shaharat al Ghis,20.78,31,clear sky,5.36,1010
Shabwah,29.43,6,clear sky,8.19,1009
Sayyan,23.05,14,few clouds,4.25,1010
Sayhut,25.04,57,clear sky,2.96,1012
Sanhan,23.79,14,few clouds,3.77,1010
Sanaa,23.69,16,scattered clouds,0.63,1010
Sana,31.52,7,clear sky,6.92,1009
Sanaa,24.78,13,clear sky,4.79,1010
Sahar,23.88,15,few clouds,2.69,1010
Sah,30.52,11,clear sky,10.09,1010
Muhafazat Sa'dah,26.61,19,scattered clouds,7.33,1009
Sadah,26.11,24,scattered clouds,6.56,1010
Rihab,25.54,34,few clouds,7.13,1011
Rada,26.29,15,clear sky,8.62,1009
Raymah,20.73,42,clear sky,3.58,1011
Ar Raydah,24.71,63,clear sky,3.4,1012
Raydah,23.51,22,clear sky,7.45,1012
Rakkat al `Askari,33.02,10,clear sky,4.17,1006
Rudum,26.57,46,clear sky,5.26,1012
Qalansiyah,23.82,71,clear sky,0.44,1011
Qishn,26.28,51,clear sky,3.91,1012
Qatabah,27.01,26,clear sky,5.6,1011
Nisab,31.55,7,clear sky,7.88,1008
Al Musaymir,29.12,20,clear sky,6.17,1011
Mukayras,20.96,11,clear sky,4.47,1012
Mudiyah,27.66,14,clear sky,4.32,1012
Markaz Mudhaykirah,25.41,23,clear sky,5.27,1011
Mori,23.54,77,clear sky,4.44,1011
Minwakh,33.99,5,clear sky,3.9,1007
Mayfaah,28.95,25,clear sky,5.47,1011
Medi,26.38,73,scattered clouds,4.16,1010
Mawza,36.14,18,scattered clouds,8.33,1007
Mawiyah,26.16,19,clear sky,7.38,1011
Al Jawl,31.5,15,clear sky,5.85,1011
Marib City,33.03,11,clear sky,3.91,1007
Muhafazat Ma'rib,33.22,11,clear sky,3.65,1006
Ma'rib,33.22,11,clear sky,3.65,1006
Manakhah,19.55,34,clear sky,4.64,1011
Milah,25.84,15,clear sky,8.29,1009
Al Malahit,31.62,46,broken clouds,5.27,1010
Al Mafud,31.83,5,clear sky,5.68,1009
Mafhaq,27.05,23,clear sky,5.51,1010
Al Madid,24.68,20,scattered clouds,4.42,1010
Mabar,24.09,18,clear sky,5.92,1010
Al Ma`alla',28.07,50,scattered clouds,6.65,1010
Lawdar,28.89,10,clear sky,3.66,1011
Lahij,31.43,31,scattered clouds,6.62,1010
Kuhlan `Affar,20.08,40,few clouds,3.91,1013
Kuaydinah,30.54,40,scattered clouds,4.13,1009
Kitaf,26.02,20,scattered clouds,7.77,1009
Kilmia,24.04,74,clear sky,4.23,1011
Khawr Maksar,28.1,50,scattered clouds,6.65,1010
Khawrah,31.96,6,clear sky,5.82,1008
Khamir,20.96,28,clear sky,7.54,1012
Juban,23.6,25,clear sky,6.7,1011
Jihanah,24.97,15,scattered clouds,2.47,1009
Jiblah,21.17,21,few clouds,4.98,1011
Jawf al Maqbabah,29.38,12,clear sky,3.42,1011
Muhafazat al Jawf,31.82,11,clear sky,2.53,1007
Jaar,29.55,39,few clouds,6.57,1010
Ibb,25.48,25,few clouds,6.13,1012
Ibb,24.44,23,few clouds,5.68,1012
Huth,25.33,24,clear sky,8.78,1010
As Salasil,31.38,5,clear sky,6.35,1009
Al `Abr,32.11,4,clear sky,2.95,1008
Hays,36.39,17,clear sky,6.3,1007
Hayfan,25.83,24,broken clouds,7.2,1010
Hawf,25.92,43,clear sky,1.86,1013
Haswayn,23.88,67,clear sky,3.07,1013
Harib,33.02,14,clear sky,7.13,1007
Harad,30.3,53,scattered clouds,5.31,1009
Hammam `Ali,27.5,23,clear sky,5.19,1010
Hajjah,21.65,46,few clouds,4.1,1012
Hajjah,23.45,43,few clouds,3.74,1011
Madinat Lab`us,22.14,17,clear sky,4.67,1011
Muhafazat Hadramawt,32.83,5,clear sky,5.64,1008
Hadibu,23.9,78,clear sky,7.26,1011
Habil al Jabr,29.57,21,clear sky,3.81,1011
Al Habilayn,29.55,20,clear sky,4.89,1011
Habban,28.32,12,clear sky,6.67,1011
Hababah,18.55,30,clear sky,6.64,1013
Ghayl Ba Wazir,27.69,39,clear sky,3.62,1012
Dhubab,25.19,75,broken clouds,11.88,1009
Dhi Na`im,24.06,10,clear sky,7.02,1011
Dhaybin,22.19,19,clear sky,6.88,1011
Dhi as Sufal,24.5,19,few clouds,4.75,1011
Dhi as Sufal,24.19,19,few clouds,4.6,1011
Madinat Dhamar,24.42,21,clear sky,7.77,1010
Muhafazat Dhamar,23.57,21,clear sky,6.2,1010
Dhamar,23.63,23,clear sky,7.95,1010
Dawran ad Daydah,22.28,20,clear sky,5.03,1010
Dar an Nasir,29.46,15,clear sky,1.75,1010
Burum,25.5,58,clear sky,3.81,1012
Bayt `Adhaqah,18.8,43,few clouds,4.3,1013
As Suq al Jadid,23.51,22,clear sky,7.45,1012
Bayt al Faqih,33.17,29,clear sky,5.53,1008
Bayt al Faqih,34.35,25,clear sky,4.99,1008
Bayhan,33.67,6,clear sky,7.47,1007
Bani Hujjaj,28.21,44,clear sky,3.59,1010
Bani Bakr,23.33,15,clear sky,5.3,1011
Bajil,32.85,35,clear sky,5.03,1009
Bajil,33.04,35,clear sky,4.61,1009
Az Zuhrah,31.54,46,few clouds,5.14,1009
Az Zaydiyah,30.7,44,few clouds,5.38,1009
Az Zahir,33.35,10,clear sky,4.77,1006
Al Hajab,32.82,13,clear sky,7.15,1007
Al `Awabil,21.94,25,clear sky,4.92,1011
At Turbah,24.02,23,scattered clouds,3.23,1010
At Tuhayta',29.66,46,clear sky,7.84,1008
At Tawahi,29.66,40,scattered clouds,6.99,1010
Ataq,28.15,9,clear sky,9.17,1010
As Sudah,24.89,30,few clouds,6.74,1011
As Sayyani,24.08,19,few clouds,4.61,1011
As Sawma`ah,21.97,11,clear sky,6.1,1012
Al Bilad,33.04,6,clear sky,3.67,1009
As Sawadiyah,26.97,14,clear sky,8.04,1009
As Salif,24.71,78,scattered clouds,6.47,1009
Said,24.97,14,clear sky,6.8,1012
As Safaqayn,21.45,46,few clouds,3.28,1010
As Saddah,22.72,26,few clouds,6.16,1011
Ash Shaykh `Uthman,29.69,40,scattered clouds,6.99,1010
Ash Shatt,31.66,32,scattered clouds,8.94,1010
Ash Shahil,26.4,41,scattered clouds,3.86,1010
Ash Shaghadirah,28.39,46,few clouds,4.15,1011
Asdas,33.85,11,clear sky,3.42,1006
Marbat,24.39,13,clear sky,4.86,1012
Ar Rawdah,25.34,13,clear sky,3.83,1010
Ar Rawdah,28,16,clear sky,5.2,1011
An Nadirah,23.97,24,few clouds,6.98,1011
Amran,22.29,27,clear sky,7.48,1012
Amd,29.58,7,clear sky,7.01,1010
Al Wuday`,29.6,15,clear sky,5.98,1010
Al `Udayn,26.81,26,clear sky,5.45,1011
Al Qurh,28.11,23,clear sky,7.93,1012
Al Qaryah,20.96,11,clear sky,4.47,1012
Al Qanawis,32.26,40,few clouds,4.61,1009
Al Qaflah,27.81,35,clear sky,6.65,1010
Qaryat al Qabil,24.67,12,clear sky,4.89,1010
Al Ma`udah,25.64,10,clear sky,7.97,1010
Al Munirah,28.75,54,few clouds,5.86,1009
Mukalla,25.16,55,clear sky,3.16,1012
Al Misrakh,29.53,15,clear sky,2.39,1010
Al Milah,30.07,20,clear sky,5.37,1010
Al Mighlaf,32.56,39,clear sky,4.35,1009
Markaz al Marir,35.99,16,clear sky,5.94,1008
Al Marawi`ah,32.56,36,clear sky,5.94,1008
Al Mansuriyah,33.89,30,clear sky,5.58,1008
Al Mansurah,29.7,40,scattered clouds,6.99,1010
Al Makhadir,26,30,few clouds,7,1012
Al Makdash,25.64,15,clear sky,4.92,1012
Al Mahwit,18.52,50,few clouds,4.39,1012
Al Mahfid,29.14,20,clear sky,6.11,1011
Al Mahabishah,26.84,43,few clouds,3.82,1010
Al Luhayyah,27.46,62,scattered clouds,5.82,1009
Kirsh,31.64,24,broken clouds,7.2,1010
Al Khawkhah,27.92,56,clear sky,12.45,1008
Al Khasamah,21.63,15,clear sky,5.41,1012
Al Jurbah,21.4,20,clear sky,4.17,1011
Al Jarrahi,33.3,28,clear sky,7,1008
Al Husayn,26.11,25,clear sky,4.96,1011
Huraydah,32.5,4,clear sky,1.02,1008
Al Hudaydah,27.72,58,clear sky,6.58,1009
Muhafazat al Hudaydah,33.17,34,clear sky,5.49,1008
Al Hazm,33.2,12,clear sky,0.16,1006
Al Qatan,34.56,3,clear sky,2.15,1008
Al Harf,27.97,24,clear sky,10.59,1010
Al Hamzat,26.11,24,scattered clouds,6.56,1010
Hajar al Masha'ikh,30.84,4,clear sky,3.32,1009
Al Habit,28.36,36,clear sky,4.89,1011
Al Ghayzah,25.8,54,clear sky,6.22,1012
Al Fujayr,33.73,6,clear sky,8.43,1008
Al Bayda,22.18,11,clear sky,5.37,1012
Al Bayda Governorate,26.87,9,clear sky,7.51,1009
Al Batinah,33.92,3,clear sky,2.51,1008
Al `Aqir,33.56,3,clear sky,5.57,1007
Ahwar,27.32,49,clear sky,6.33,1011
Ad Durayhimi,27.28,60,clear sky,6.82,1009
Ad Dis ash Sharqiyah,26.25,54,clear sky,3.75,1012
Ad Dimnah,28.01,17,clear sky,5.13,1010
Ad Dann,21.19,35,few clouds,5.5,1010
Az Zali`ah,25.67,11,clear sky,8.01,1011
Dhalie,24.74,23,clear sky,5.07,1011
Dhahi,31.18,41,few clouds,5.27,1009
Aden,29.71,40,scattered clouds,6.99,1010
Muhafazat Abyan,23.48,33,clear sky,5.85,1011
Al Bardīyah,18.48,33,clear sky,3.65,1015
Tobruk,19.62,32,clear sky,5.66,1014
Qaryat Sulūq,19.19,42,clear sky,8.71,1013
Kamb al ‘Ajjāj,19.1,43,clear sky,9.2,1013
Gialo,23.01,17,clear sky,5.08,1015
Darnah,19.14,24,clear sky,7.91,1014
Darnah,19.27,34,broken clouds,9.44,1013
Benghazi,18.08,58,light rain,8.39,1013
Az Zuwaytīnah,18.25,50,clear sky,7.65,1014
Awjilah,22.98,17,clear sky,5.35,1015
At Tāj,22.22,12,clear sky,1.37,1015
Aş Şafşāf,14.89,35,scattered clouds,11.07,1012
Ash Shawāshinah,23.16,17,clear sky,5.45,1015
Al ‘Urūbah,18.08,58,light rain,8.39,1013
Tūkrah,19.47,48,light rain,11.38,1012
Al Qubbah,15.29,33,scattered clouds,11.23,1013
Al Marj,18.9,35,clear sky,10.36,1012
Al Marj,19.27,25,clear sky,8.99,1013
Al Kufrah,22.18,12,clear sky,1.35,1015
Al Jawf,22.19,12,clear sky,1.39,1015
Al Jaghbūb,20.8,21,clear sky,3.08,1016
Al Bayḑā’,15.62,33,few clouds,11.36,1012
Al Abyār,18.18,41,clear sky,10.04,1013
Ajdabiya,21.32,27,clear sky,7.81,1014
Basra Governorate,17.47,28,broken clouds,2.48,1013
Zakho,13.24,31,overcast clouds,1.81,1014
Muhafazat Wasit,16.36,27,overcast clouds,3.1,1013
Umm Qaşr,17.46,30,overcast clouds,2,1013
Ūlwur,12.45,31,overcast clouds,2.37,1014
Tuz Khurmatu District,14.19,33,overcast clouds,6.85,1015
Tikrit,13.78,34,overcast clouds,2.79,1015
Tallkayf,15.88,37,overcast clouds,1.93,1014
Sulaymānīyah,12.14,40,overcast clouds,1.64,1016
Sīnah,10.68,30,overcast clouds,1.48,1014
Samarra,12.56,43,overcast clouds,3.54,1016
Salah ad Din Governorate,13.6,34,overcast clouds,2.8,1015
Nāḩīyat Saddat al Hindīyah,13.45,45,overcast clouds,4.31,1014
Aḩmad Ţāhir,12.71,43,overcast clouds,4.03,1015
Ṟuwandiz,12.86,34,overcast clouds,0.31,1013
Rāwah,13.23,33,overcast clouds,1.83,1015
Qāzaw al ‘Ulyā,13.69,27,overcast clouds,1.99,1014
Qaryat Bānī Mālik,18.99,22,overcast clouds,3.09,1013
Al-Hamdaniya District,15.94,29,overcast clouds,1.18,1014
Qal‘at as Sādah,11.99,58,overcast clouds,4.12,1015
Niskah Jaww,13.59,27,overcast clouds,1.79,1014
Nineveh,14.15,31,overcast clouds,1.72,1014
Mudarras,20.49,14,broken clouds,1.65,1013
Maysan,19.84,15,broken clouds,1.46,1013
Mandalī,15.42,33,overcast clouds,3.76,1014
Koysinceq,13.83,27,overcast clouds,2.22,1013
Kifrī,13.11,40,overcast clouds,8.2,1016
Raḩbah,11.94,30,overcast clouds,2.68,1013
Kirkuk,13.54,31,overcast clouds,4.45,1014
Karīm Āwah,13.53,27,overcast clouds,1.96,1014
Muḩāfaz̧at Karbalā’,11.36,66,overcast clouds,4.86,1014
Karbala,11.24,59,overcast clouds,4.39,1014
Kānī Mīr,13.61,27,overcast clouds,1.83,1014
Kānī Khākī,11.24,30,overcast clouds,6.68,1014
Kānī Kawah al Qadīmah,13.53,27,overcast clouds,1.96,1014
Kānī Kawah Jabūkh,13.74,27,overcast clouds,1.92,1014
Kānī Bardīnah,12.89,29,overcast clouds,1.88,1014
Jalīb Shihāb,17.15,29,overcast clouds,3.64,1013
Muḩāfaz̧at Arbīl,17.97,15,overcast clouds,3.09,1013
Erbil,17.9,15,overcast clouds,3.09,1013
Hīt,8.39,86,moderate rain,2.55,1016
Hamādīyah,14.55,28,overcast clouds,5.21,1014
Halabja,12.03,35,overcast clouds,2.12,1014
Ḩājj Sallūm,11.99,51,overcast clouds,4.95,1015
‘Arab Ḩasan as Suhayl,12,58,overcast clouds,4.12,1015
Ḩadīthah,12.14,40,overcast clouds,1.64,1016
Diyālá,12.45,53,overcast clouds,5.93,1014
Dīwānīyah,13.32,44,overcast clouds,3.94,1015
Dahuk,12.63,31,overcast clouds,1.64,1014
Dhi Qar,16.02,31,overcast clouds,2,1013
Dihok,9.03,28,overcast clouds,1.66,1013
Jamjamāl,11.98,31,overcast clouds,3.09,1014
Buzan,6.28,31,broken clouds,1.5,1013
Bayjī,14.4,31,overcast clouds,2.42,1014
Baqubah,12.02,53,overcast clouds,6.39,1015
Baynjiwayn,7.84,29,broken clouds,1.53,1013
Balad,12.21,45,light rain,1.97,1016
Mayorality of Baghdad,12.01,58,overcast clouds,4.12,1015
Baghdad,11.95,58,overcast clouds,4.12,1015
Muḩāfaz̧at Bābil,14.62,37,overcast clouds,3.93,1014
Az Zubayr,18.92,22,overcast clouds,3.09,1013
Qaryat ‘Ayn Nāşir,15.7,31,overcast clouds,1.01,1014
Kirkuk,14.59,28,overcast clouds,5.31,1014
Aş Şuwayrah,13.81,40,overcast clouds,4.99,1014
Sulaymaniyah,11.24,40,clear sky,1.03,1013
Sulaymaniyah,9.98,21,broken clouds,2.84,1013
As Samawah,16.02,28,overcast clouds,2.3,1013
Nāḩiyat ash Shināfīyah,15.37,29,overcast clouds,2.09,1013
Ash Shaţrah,17.57,26,broken clouds,2.83,1013
Ash Shāmīyah,12.05,71,broken clouds,2.06,1013
Ar Ruţbah,2.51,97,light rain,2.59,1018
Ar Rumaythah,15.33,32,overcast clouds,1.14,1013
Ar Rumaylah,17.17,30,broken clouds,3.06,1013
Ramadi,11.14,59,overcast clouds,5.88,1015
Qaryat al ‘Arbīd,15.6,31,overcast clouds,1.18,1014
Nasiriyah,16.31,32,broken clouds,1.82,1013
Najaf,11.88,71,broken clouds,2.06,1013
An Najaf,13.02,33,overcast clouds,4.25,1013
‘Anat al Qadīmah,13.34,33,overcast clouds,1.73,1015
Imam Qasim,15.15,29,overcast clouds,2.7,1014
Muḩāfaz̧at al Qādisīyah,14.93,34,overcast clouds,1.23,1013
Muḩāfaz̧at al Muthanná,16.93,41,overcast clouds,5.07,1012
Al Musayyib,13.52,46,overcast clouds,4.17,1014
Al Mishkhāb,12.06,29,overcast clouds,2.65,1013
Al Miqdādīyah,12.11,55,light rain,6.39,1015
Al Mawşil al Jadīdah,16.06,38,overcast clouds,1.34,1014
Mosul,16.23,37,overcast clouds,1.79,1014
Al-Mejar Al-Kabi District,20.75,14,scattered clouds,2.39,1013
Kut,17.06,24,overcast clouds,1.11,1013
Kufa,12.02,71,broken clouds,2.06,1013
Khāliş,12.24,51,light rain,5.89,1015
Iraq,12.1,50,overcast clouds,4.51,1014
Al Imām,14.62,37,overcast clouds,3.93,1014
‘Alī al Gharbī,19.55,18,broken clouds,2.65,1013
‘Alī al Aḩmad,11.96,49,overcast clouds,4.38,1015
Al Hindīyah,12.29,50,overcast clouds,4.87,1014
Al Hillah,13.82,40,overcast clouds,4.78,1014
Al Ḩayy,18.12,21,overcast clouds,2.23,1013
Al Hārithah,18.98,22,overcast clouds,3.09,1013
Nahiyat Ghammas,15.35,29,overcast clouds,1.75,1013
Nāḩiyat al Fuhūd,17.19,29,broken clouds,2.21,1013
Al Fāw,16.03,44,overcast clouds,1.6,1014
Fallujah,12.55,47,overcast clouds,4.28,1015
Basra,18.97,22,overcast clouds,3.09,1013
Al Barjisīyah,18.9,28,broken clouds,3.12,1013
Al ‘Azīzīyah,15.32,33,overcast clouds,3.21,1014
Al Anbar,5.82,86,moderate rain,5.84,1016
Alan,13.91,28,overcast clouds,2.01,1014
Amara,20.41,14,broken clouds,1.64,1013
‘Afak,15.99,26,overcast clouds,1.07,1013
Dujail,11.76,50,light rain,4.74,1015
Ad Dīwānīyah,15.77,28,overcast clouds,1.19,1013
Abū Muḩammad,11.99,58,overcast clouds,4.12,1015
Abu Ghraib,11.97,58,overcast clouds,4.12,1015
Yanbu,28.02,26,few clouds,9.26,1011
Umluj,22.7,39,clear sky,5.19,1013
Umm as Sāhik,17.1,46,overcast clouds,3.05,1014
Turaif,7.14,76,broken clouds,8.23,1014
Turabah,28.47,29,clear sky,11.33,1008
At Tūbī,17.1,47,overcast clouds,3.32,1014
Tārūt,17.12,48,overcast clouds,3.46,1014
Tanūmah,23.31,27,clear sky,5.29,1009
Tamrah,25.06,18,clear sky,4.03,1008
Tabuk,16.56,19,clear sky,7.61,1011
Tabuk,20.01,13,clear sky,4.12,1011
Ţubarjal,16.4,41,broken clouds,6.49,1012
Tabālah,30.58,29,clear sky,11.04,1009
Şumaymah,24.97,61,overcast clouds,8.36,1011
Sulţānah,26.25,15,few clouds,4.63,1009
Sufan,31,19,clear sky,5.66,1008
Sīdī Ḩamzah,26.24,15,few clouds,4.63,1009
Sayhāt,17.12,44,overcast clouds,2.74,1014
Saudi Arabia,24.48,36,broken clouds,7.09,1009
Şāmitah,30.1,56,scattered clouds,4.96,1009
Sakakah,11.76,52,broken clouds,6.03,1011
Şafwá,17.04,48,overcast clouds,3.37,1014
Şabyā,29.79,59,scattered clouds,5.3,1009
Ras Tanura,18.13,57,overcast clouds,2.92,1014
Raḩīmah,18.07,57,overcast clouds,3.25,1014
Rafha,11.95,82,mist,4.12,1009
Rābigh,25.5,36,scattered clouds,8.15,1011
Qārā,11.69,100,overcast clouds,5.14,1011
Bisha,31.01,19,clear sky,5.66,1008
Nimrān,31.01,19,clear sky,5.66,1008
Najrān,30.92,14,scattered clouds,4.12,1007
Naghbī,30.17,52,few clouds,6.03,1009
Mulayjah,22.88,37,broken clouds,3.65,1012
Mislīyah,31.47,47,few clouds,5.98,1009
Masjid Ibn Rashīd,21.83,50,broken clouds,3.6,1010
Masāḩilī,28,29,clear sky,8.98,1011
